,IdJuego,platforms
1050,91810,windows
1051,91900,windows
1052,92000,windows
1053,92100,windows
1054,92200,windows
1055,92210,windows
1056,92220,windows
1057,92300,windows
1058,92400,windows
1059,92600,windows
1060,92700,windows
1061,92800,windows;mac;linux
1062,92900,windows
1063,93200,windows;mac;linux
1064,94000,windows
1065,94200,windows;mac
1066,94300,windows;mac
1067,94400,windows;mac
1068,94590,windows;mac
1069,94620,windows;mac
1070,95000,windows;mac;linux
1071,95300,windows;mac;linux
1072,95400,windows;mac;linux
1073,95700,windows;mac
1074,95900,windows
1075,96000,windows;mac;linux
1076,96100,windows
1077,96200,windows;linux
1078,96800,windows
1079,96900,windows
1080,97000,windows;mac;linux
1081,97100,windows
1082,97110,windows
1083,97120,windows
1084,97130,windows
1085,97330,windows
1086,98100,windows;mac
1087,98200,windows;mac;linux
1088,98300,windows
1089,98400,windows
1090,98500,windows
1091,98600,windows;mac
1092,98800,windows;mac;linux
1093,98900,windows
1094,99100,windows
1095,99120,windows
1096,99300,windows
1097,99400,windows
1098,99410,windows
1099,99700,windows;mac;linux
1100,99900,windows;mac
1101,99910,windows;mac
1102,100980,windows
1103,102200,windows
1104,102400,windows;mac
1105,102500,windows
1106,102600,windows
1107,102810,windows
1108,102840,windows;mac;linux
1109,102850,windows
1110,104000,windows;mac
1111,104020,windows;mac
1112,104100,windows;mac
1113,104200,windows
1114,104900,windows
1115,105000,windows;mac
1116,105100,windows;mac
1117,105300,windows;mac
1118,105420,windows
1119,105450,windows
1120,105600,windows;mac;linux
1121,105700,windows
1122,105800,windows
1123,107100,windows;mac;linux
1124,107200,windows;mac;linux
1125,107300,windows
1126,107310,windows
1127,107410,windows
1128,107600,windows
1129,108110,windows
1130,108200,windows;mac;linux
1131,108210,windows
1132,108500,windows
1133,108600,windows;mac;linux
1134,108700,windows
1135,108710,windows
1136,108800,windows
1137,109200,windows
1138,109500,windows
1139,109600,windows
1140,109700,windows
1141,110400,windows
1142,110500,windows;mac
1143,110600,windows
1144,110610,windows
1145,110630,windows
1146,110800,windows
1147,111000,windows;mac;linux
1148,111010,windows;mac;linux
1149,111100,windows;mac;linux
1150,111400,windows
1151,111600,windows
1152,112100,windows;mac;linux
1153,113020,windows;mac;linux
1154,113200,windows;mac
1155,113400,windows
1156,113420,windows
1157,115100,windows;mac;linux
1158,115110,windows;mac;linux
1159,115120,windows
1160,115200,windows
1161,115210,windows
1162,115220,windows
1163,115320,windows
1164,115800,windows;mac;linux
1165,116100,windows;mac
1166,200010,windows
1167,200020,windows
1168,200080,windows;mac
1169,200130,windows
