,IdJuego,categories
426,18500,Single-player;Steam Achievements;Full controller support;Steam Trading Cards
427,18600,Single-player;Multi-player;Steam Achievements
428,18700,Single-player;Steam Achievements;Partial Controller Support
429,18820,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats
430,19000,Single-player
431,19020,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud
432,19030,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
433,19080,Single-player
434,19200,Single-player;Steam Achievements
435,19320,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards
436,19500,Single-player;Steam Achievements;Partial Controller Support;Includes level editor
437,19800,Single-player
438,19830,Single-player
439,19900,Single-player;Multi-player
440,19980,Single-player
441,20200,Single-player;Multi-player;Steam Achievements;Partial Controller Support
442,20510,Single-player;Multi-player
443,20530,Single-player;Multi-player;Steam Cloud
444,20540,Single-player;Multi-player;Steam Cloud
445,20550,Single-player;Steam Cloud
446,20570,Single-player;Multi-player;Co-op;Steam Cloud
447,20700,Single-player;Steam Achievements
448,20710,Single-player;Steam Achievements
449,20820,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
450,20900,Single-player;Steam Cloud
451,20920,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards
452,21000,Single-player;Shared/Split Screen;Full controller support
453,21010,Single-player;Multi-player;Shared/Split Screen
454,21030,Single-player;Co-op;Partial Controller Support
455,21090,Single-player
456,21100,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
457,21130,Single-player;Shared/Split Screen;Full controller support
458,21300,Single-player;Steam Achievements
459,21400,Single-player;Steam Achievements
460,21500,Single-player
461,21640,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support
462,21660,Single-player;Multi-player;Partial Controller Support
463,21670,Single-player;Multi-player;Partial Controller Support;Steam Cloud
464,21680,Single-player;Shared/Split Screen;Partial Controller Support
465,21690,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards
466,21780,Single-player
467,21800,Single-player;Multi-player
468,21980,Single-player
469,22000,Single-player;Steam Achievements
470,22100,Single-player;Steam Trading Cards;Includes level editor
471,22120,Single-player;Captions available
472,22130,Single-player;Multi-player
473,22180,Single-player;Captions available
474,22200,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud
475,22230,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards
476,22300,Single-player;Partial Controller Support
477,22310,Single-player;Multi-player;Steam Achievements;Steam Cloud;Steam Leaderboards
478,22320,Single-player;Steam Cloud
479,22330,Single-player;Steam Cloud
480,22350,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Steam Leaderboards
481,22370,Single-player
482,22380,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards
483,22450,Partial Controller Support;Steam Cloud
484,22500,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements
485,22600,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards
486,22610,Single-player;Co-op;Steam Achievements;Partial Controller Support
487,22650,Single-player;Co-op;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards
488,22670,Single-player;Co-op;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards
489,23150,Single-player;Steam Achievements
490,23300,Single-player
491,23380,Single-player
492,23400,Single-player
493,23420,Single-player;Multi-player;Co-op
494,23450,Single-player
495,23460,Single-player
496,23490,Single-player
497,23500,Multi-player;Steam Cloud
498,23530,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats
499,23600,Single-player
500,23700,Multi-player;Steam Cloud
501,24010,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Steam Cloud;Steam Leaderboards
502,24200,Multi-player;MMO;Steam Achievements;Full controller support
503,24240,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats
504,24400,Single-player;Multi-player
505,24410,Single-player;Multi-player
506,24420,Single-player;Steam Achievements;Partial Controller Support
507,24460,Single-player
508,24480,Single-player;Steam Achievements
509,24640,Single-player
510,24650,Single-player
511,24670,Single-player;Multi-player;Steam Achievements;Stats;Steam Leaderboards
512,24720,Single-player
513,24740,Single-player;Multi-player
514,24780,Single-player
515,24790,Single-player
516,24800,Single-player
517,24810,Single-player;Multi-player
518,24840,Single-player;Multi-player
519,24870,Single-player;Multi-player
520,24960,Single-player;Multi-player
521,24980,Single-player
522,25000,Single-player;Partial Controller Support;Includes level editor
523,25010,Single-player
524,25500,Single-player;Multi-player
525,25600,Single-player
526,25620,Single-player
527,25700,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
528,25800,Single-player;Multi-player;Steam Trading Cards
529,25830,Single-player;Multi-player
530,25850,Single-player;Multi-player;Steam Cloud;Includes level editor
531,25890,Single-player;Multi-player;Co-op;Steam Trading Cards
532,25900,Single-player;Steam Cloud
533,25910,Single-player;Multi-player
534,25930,Single-player;Multi-player
535,25980,Single-player
536,25990,Single-player;Multi-player
537,26000,Single-player;Steam Achievements
538,26300,Single-player;Multi-player
539,26800,Single-player;Steam Achievements;Full controller support;Steam Cloud
540,26900,Single-player
541,27000,Single-player;Steam Trading Cards
542,27020,Single-player
543,27050,Single-player
544,27200,Single-player;Multi-player;Co-op
545,27330,Single-player;Multi-player;Co-op;Partial Controller Support
546,27400,Single-player
547,27600,Single-player;Steam Achievements
548,27800,Single-player
549,27810,Single-player;Partial Controller Support
550,27900,Single-player
551,27920,Single-player;Multi-player;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards
552,27940,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards
553,28000,Single-player;Multi-player;Co-op;Steam Achievements;Steam Leaderboards
554,29120,Single-player
555,29130,Single-player
556,29160,Single-player
557,29180,Single-player;Steam Achievements
558,29800,Single-player;Steam Trading Cards;Partial Controller Support
559,29900,Single-player;Multi-player;Partial Controller Support
560,31270,Single-player
561,31300,Single-player
562,31800,Single-player
563,31810,Single-player
564,31820,Single-player
565,31830,Single-player
566,31840,Single-player
567,31850,Single-player
568,31860,Single-player
569,31870,Single-player
570,31880,Single-player
571,31890,Single-player
572,31900,Single-player
573,31910,Single-player
574,31920,Single-player
575,31930,Single-player
576,31980,Single-player;Steam Achievements
577,32000,Single-player
578,32110,Single-player
579,32120,Single-player
580,32140,Single-player
581,32150,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards
582,32160,Single-player;Multi-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards
583,32200,Single-player;Multi-player;Steam Achievements
584,32310,Single-player
585,32330,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud
586,32340,Single-player;Steam Cloud
587,32350,Single-player;Partial Controller Support;Steam Cloud
588,32360,Single-player;Full controller support;Steam Cloud
589,32370,Single-player;Steam Cloud
590,32380,Single-player;Multi-player;Local Multi-Player;Partial Controller Support;Steam Cloud
591,32390,Single-player;Multi-player;Partial Controller Support;Steam Cloud
592,32400,Single-player;Steam Cloud
593,32410,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards
594,32420,Single-player;Shared/Split Screen;Partial Controller Support
595,32430,Single-player;Partial Controller Support;Steam Cloud
596,32440,Single-player;Shared/Split Screen;Full controller support;Steam Cloud
597,32450,Single-player;Shared/Split Screen;Partial Controller Support;Steam Cloud
598,32460,Single-player;Steam Achievements;Full controller support;Steam Cloud
599,32470,Single-player;Multi-player;Online Multi-Player;Steam Cloud
600,32500,Single-player;Partial Controller Support;Steam Cloud
601,32510,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud
602,32610,Single-player;Multi-player
603,32620,Single-player
604,32630,Single-player;Multi-player
605,32640,Single-player;Multi-player
606,32650,Single-player;Multi-player
607,32660,Single-player;Multi-player
608,32670,Single-player;Multi-player
