,IdJuego,steamspy_tags
681,36310,Strategy;Casual
682,36320,Adventure;Casual
683,36900,Simulation;Action
684,36910,Action;Simulation
685,37000,Surreal;Nudity;Adventure
686,37010,Action;Hack and Slash;Ninja
687,37030,Strategy;Turn-Based;Tactical
688,37100,RPG;Action;Indie
689,37210,Simulation;Casual
690,37220,Simulation;Time Management;Casual
691,37230,Simulation
692,37240,Time Management;Casual
693,37260,Adventure;Point & Click;Noir
694,37270,Casual;Adventure;Cute
695,37280,Time Management
696,37300,Casual;Management
697,37310,Hidden Object
698,37320,Hidden Object
699,37330,Hidden Object
700,37340,Casual;Time Management
701,37370,Casual
702,37380,Hidden Object
703,37390,Casual
704,37400,Point & Click;Adventure;Indie
705,37500,Indie;Casual;Puzzle
706,37600,Casual;Point & Click;Indie
707,37700,Action;FPS;Time Travel
708,37800,Indie;Casual;Puzzle
709,37960,Casual;Puzzle;Match 3
710,38000,Casual;Puzzle
711,38070,Casual;Simulation
712,38080,Simulation;Building
713,38090,Simulation
714,38100,Simulation;Building
715,38110,Simulation
716,38120,Casual;Agriculture
717,38130,Casual;Agriculture;Time Management
718,38140,Casual;Agriculture
719,38150,Casual;Puzzle;Agriculture
720,38160,Casual;Agriculture
721,38170,Casual;Match 3
722,38180,Casual;Match 3
723,38190,Casual;Hidden Object
724,38210,Casual;Puzzle;Masterpiece
725,38230,Simulation;Management
726,38400,RPG;Post-apocalyptic;Classic
727,38410,RPG;Post-apocalyptic;Classic
728,38420,Post-apocalyptic;Strategy;RPG
729,38430,Action;FPS;Classic
730,38450,Action;Classic;Third-Person Shooter
731,38460,Action;Classic;Third Person
732,38490,Adventure;Action;Classic
733,38600,Card Game;Casual;Indie
734,38700,Puzzle;Indie;Casual
735,38720,Puzzle;Indie;Casual
736,38740,Puzzle;Indie;Action
737,39000,Space;Simulation;Free to Play
738,39110,Casual;Hidden Object;Adventure
739,39120,Free to Play;MMORPG;Massively Multiplayer
740,39140,JRPG;RPG;Classic
741,39150,JRPG;RPG;Classic
742,39190,RPG;Fantasy;Action RPG
743,39200,RPG;Fantasy;Action RPG
744,39210,MMORPG;Massively Multiplayer;RPG
745,39500,RPG;Open World;Fantasy
746,39510,RPG;Classic;Open World
747,39520,Strategy;Simulation;Economy
748,39540,RPG;Strategy;Action
749,39560,Action;FPS
750,39630,Action;Underwater;Sci-fi
