,nombre,categoria,direccion_completa,barrio,comuna
2025,NORTE,RESTAURANTE,ARENALES 2600,Recoleta,Comuna 2
2026,NO SE LO DIGAS A NADIE,RESTAURANTE,SARMIENTO 2725,Balvanera,Comuna 3
2027,NOSSE,RESTAURANTE,"MORENO, JOSE MARIA AV. 807",Parque Chacabuco,Comuna 7
2028,NOSTALGIA BAR,RESTAURANTE,SOLER 3599,Recoleta,Comuna 2
2029,NOTICIAS,RESTAURANTE,CORDOBA AV. 1672,San Nicolas,Comuna 1
2030,NO TODAVIA,RESTAURANTE,MAIPU 635,San Nicolas,Comuna 1
2031,NOTORIUS,RESTAURANTE,CALLAO AV. 966,Recoleta,Comuna 2
2032,NOVECENTO,RESTAURANTE,BAEZ 199,Palermo,Comuna 14
2033,NUCHA,RESTAURANTE,"SALGUERO, JERONIMO 2587",Palermo,Comuna 14
2034,NUEVE SOLES,RESTAURANTE,FRENCH 2316,Recoleta,Comuna 2
2035,NUEVO CALLAO,BAR,CALLAO AV. 601,San Nicolas,Comuna 1
2036,NUEVO CANDILEJAS,RESTAURANTE,GAONA AV. 1499,Caballito,Comuna 6
2037,NUEVO CRISTAL,BAR,RIVADAVIA AV. 703,San Nicolas,Comuna 1
2038,NUEVO GUISE,BAR,GUISE 1902,Palermo,Comuna 14
2039,NUEVO HERMANN,BAR,GUEMES 4202,Palermo,Comuna 14
2040,NUEVO MADRYN,RESTAURANTE,"ARANGUREN, JUAN F., Dr. 4600",Velez Sarsfield,Comuna 10
2041,NUEVO OBLIGADO,RESTAURANTE,VUELTA DE OBLIGADO 1878,Belgrano,Comuna 13
2042,NUEVO PARIS,CAFE,"BROWN, ALTE. AV. 870",Boca,Comuna 4
2043,NUEVO VEVEDERO,RESTAURANTE,SANCHEZ DE BUSTAMANTE 1402,Recoleta,Comuna 2
2044,NUMITO,CAFE,GAONA AV. 2702,Flores,Comuna 7
2045,NUTA BAR & RESTAURANT,RESTAURANTE,SOLDADO DE LA INDEPENDENCIA 1417,Belgrano,Comuna 13
2046,OASIS,RESTAURANTE,CALLAO AV. 1776,Recoleta,Comuna 2
2047,OASIS,,VELEZ SARSFIELD AV. 402,Barracas,Comuna 4
2048,OBOLO,RESTAURANTE,"SALGUERO, JERONIMO 1440",Palermo,Comuna 14
2049,O' CATOIRES,RESTAURANTE,ACEVEDO 503,Villa Crespo,Comuna 15
2050,OCEAN BLUE,RESTAURANTE,FRAY JUSTO SANTAMARIA DE ORO 2476,Palermo,Comuna 14
2051,OH! CARAMBA,RESTAURANTE,TUCUMAN 553,San Nicolas,Comuna 1
2052,OLALA,RESTAURANTE,AZCUENAGA 894,Recoleta,Comuna 2
2053,OLEIROS,RESTAURANTE,PIEDRAS 848,San Telmo,Comuna 1
2054,OLIMPO,CONFITERIA,IRIGOYEN 1491,Monte Castro,Comuna 10
2055,OLISBOKOLICE,RESTAURANTE,"ANCHORENA, TOMAS MANUEL DE, DR. 1123",Recoleta,Comuna 2
2056,OLIVERIO,RESTAURANTE,"PACHECO DE MELO, JOSE ANDRES 2001",Recoleta,Comuna 2
2057,OLIVES,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 276",Puerto Madero,Comuna 1
2058,OLIVIA,RESTAURANTE,GODOY CRUZ 3214,Palermo,Comuna 14
2059,OLSEN,RESTAURANTE,GORRITI 5870,Palermo,Comuna 14
2060,OMA PIZZAS,RESTAURANTE,GALLARDO 599,Versalles,Comuna 10
2061,OMM,RESTAURANTE,HONDURAS 5656,Palermo,Comuna 14
2062,ONDA JOVEN,RESTAURANTE,PASEO COLON AV. 1343,San Telmo,Comuna 1
2063,ONGI ELORRE,RESTAURANTE,CHILE 980,Monserrat,Comuna 1
2064,OPEN 24 CAFE,RESTAURANTE,SARMIENTO 1701,San Nicolas,Comuna 1
2065,OPEN 25,BAR,SARMIENTO 1779,San Nicolas,Comuna 1
2066,OPEN BAR,CAFE,PICO 2498,Saavedra,Comuna 12
2067,OPEN LUGANO,PUB,"GALLO, DELFIN 5710",Villa Lugano,Comuna 8
